GeneName,R_033_C_Pp_yr2,R_036_C_Pp_yr2,R_045_C_Pp_yr2,R_048_C_Pp_yr2,R_049_La_Pp_yr2,R_051_C_Pp_yr2,R_052_La_Pp_yr2,R_054_C_Pp_yr2,R_057_C_Pp_yr2,R_058_La_Pp_yr2
GCKDGN101A57ST_Ppor,19,0,4,5,2,0,2,0,3,2
GCKDGN101A59EA_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A5AD9_Ppor,0,0,0,0,0,0,0,1,3,2
GCKDGN101A5BBQ_Ppor,13,0,0,4,3,0,1,0,3,0
GCKDGN101A5BL5_Ppor,0,0,1,3,1,0,0,2,2,0
GCKDGN101A5DJ7_Ppor,0,0,0,1,0,0,1,2,0,0
GCKDGN101A5F06_Ppor,0,0,0,1,0,0,0,0,7,1
GCKDGN101A5FF0_Ppor,20,0,12,5,1,0,3,6,5,2
GCKDGN101A5HQD_Ppor,0,0,2,0,0,0,1,0,3,2
GCKDGN101A5KEV_Ppor,0,0,1,0,0,0,0,0,1,0
GCKDGN101A5LV7_Ppor,0,0,4,0,0,0,0,0,0,1
GCKDGN101A5OA9_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A5P57_Ppor,0,0,3,1,0,0,0,0,3,0
GCKDGN101A5P5R_Ppor,0,0,0,1,0,0,0,0,0,0
GCKDGN101A5QLW_Ppor,0,0,5,0,0,0,0,0,0,0
GCKDGN101A5QMR_Ppor,9,0,4,5,0,0,0,0,4,0
GCKDGN101A5QSY_Ppor,0,0,0,0,0,0,0,1,1,0
GCKDGN101A5R8X_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A5S0Y_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A5S8T_Ppor,0,0,0,0,0,0,0,0,1,1
GCKDGN101A5U57_Ppor,0,0,0,0,0,0,0,1,4,0
GCKDGN101A5WAE_Ppor,0,0,7,0,0,1,0,0,2,0
GCKDGN101A5WJE_Ppor,4,0,1,5,2,0,0,1,10,3
GCKDGN101A5XJ8_Ppor,0,0,5,1,0,0,0,0,0,0
GCKDGN101A5YWS_Ppor,0,0,3,1,0,0,0,3,2,4
GCKDGN101A5ZFE_Ppor,0,10,3,2,0,0,0,0,2,0
