GeneName,R_033_C_Pp_yr2,R_036_C_Pp_yr2,R_045_C_Pp_yr2,R_048_C_Pp_yr2,R_049_La_Pp_yr2,R_051_C_Pp_yr2,R_052_La_Pp_yr2,R_054_C_Pp_yr2,R_057_C_Pp_yr2,R_058_La_Pp_yr2
isogroup103261_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103264_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103267_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103268_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103273_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103282_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103298_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103306_Sym,0,0,0,0,0,0,0,0,0,0
isogroup10331_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103322_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103330_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103334_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103344_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103352_Sym,0,1,0,0,0,0,0,0,0,0
isogroup103353_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103355_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103367_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103374_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103380_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103383_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103391_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103396_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103398_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103413_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103428_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103437_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103438_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103440_Sym,0,0,0,0,0,0,0,0,0,0
isogroup103442_Sym,0,0,0,0,0,0,0,0,0,0
